num_ligne;Rentrée scolaire;Code région;Région académique;Code académie;Académie;Code du département;Département;Code INSEE de la commune;Nom de la commune;UAI;Nom de l'établissement;Secteur;Type de lycée;IPS voie GT;IPS voie PRO;IPS post BAC;IPS de l'établissement;Ecart type voie GT;Ecart type voie PRO;Ecart-type établissement;IPS national LEGT;IPS national LPO;IPS national LP;IPS national LEGT privé;IPS national LEGT public;IPS national LPO privé;IPS national LPO public;IPS national LP privé;IPS national LP public;IPS académique LEGT;IPS académique LPO;IPS académique LP;IPS académique LEGT privé;IPS académique LEGT public;IPS académique LPO privé;IPS académique LPO public;IPS académique LP privé;IPS académique LP public;IPS départemental LEGT;IPS départemental LPO;IPS départemental LP;IPS départemental LEGT privé;IPS départemental LEGT public;IPS départemental LPO privé;IPS départemental LPO public;IPS départemental LP privé;IPS départemental LP public
5596.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62160;BOULOGNE SUR MER;0622949U;LYCEE GENERAL ET TECHNOLOGIQUE MARIETTE;public;LEGT;107;;101.4;105.8;35.9;;35.7;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;113.4;100.9;81.1;133.3;106.6;109.3;95.7;97.0;79.2;107.0;103.4;80.2;131.1;103.8;117.5;98.1;95.0;79.5
5597.0;2024-2025;09;HAUTS-DE-FRANCE;09;LILLE;62;PAS-DE-CALAIS;62427;HENIN BEAUMONT;0623328F;LYCEE PROFESSIONNEL HENRI SENEZ LYCEE DES METIERS;public;LP;;77.4;;77.4;;23.3;23.3;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;113.4;100.9;81.1;133.3;106.6;109.3;95.7;97.0;79.2;107.0;103.4;80.2;131.1;103.8;117.5;98.1;95.0;79.5
5636.0;2024-2025;01;AUVERGNE-RHONE-ALPES;06;CLERMONT-FERRAND;63;PUY-DE-DOME;63284;PONT DU CHATEAU;0631480S;LYCEE PROFESSIONNEL PIERRE BOULANGER LYCEE DES METIERS DES TRANSPORTS DE LA LOGISTIQUE ET DE LA MAINTENANCE AUTOMOBILE;public;LP;;89.7;84.7;90;;25.5;25.4;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;117.5;105.0;92.8;125.6;114.8;109.4;104.4;103.2;89.4;119.3;110.5;92.7;130.7;115.4;;110.5;107.5;89.5
5748.0;2024-2025;06;GRAND EST;15;STRASBOURG;67;BAS-RHIN;67482;STRASBOURG;0670078W;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MONNET;public;LEGT;92.3;;84.8;91.6;35.3;;34.6;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;117.7;100.0;85.6;132.4;112.6;;100.0;99.0;81.7;119.9;101.7;86.4;134.4;115.3;;101.7;106.5;82.9
5835.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69386;LYON 6E ARRONDISSEMENT;0690027E;LYCEE GENERAL ET TECHNOLOGIQUE EDOUARD HERRIOT;public;LEGT;126.7;;140;129.7;39.9;;38.6;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;121.9;105.4;93.5;136.9;114.4;120.1;104.5;110.3;84.5;126.5;102.4;95.0;140.1;117.1;126.1;101.9;115.7;83.6
5900.0;2024-2025;01;AUVERGNE-RHONE-ALPES;10;LYON;69;RHONE;69286;RILLIEUX LA PAPE;0691626T;LYCEE PROFESSIONNEL GEORGES LAMARQUE LYCEE DES METIERS DES ARTS ET TECHNIQUES DU BOIS ET DE LA TAPISSERIE D AMEUBLEMENT;public;LP;;99.4;;99.3;;32.5;32.5;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;121.9;105.4;93.5;136.9;114.4;120.1;104.5;110.3;84.5;126.5;102.4;95.0;140.1;117.1;126.1;101.9;115.7;83.6
6541.0;2024-2025;18;PROVENCE-ALPES-COTE D'AZUR;23;NICE;83;VAR;83137;TOULON;0830099G;LYCEE GENERAL PRIVE FENELON;privé sous contrat;LEGT;138.5;;;138.5;30.1;;30.1;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;115.6;109.1;92.1;133.1;111.8;125.1;108.1;110.4;88.8;111.6;109.1;90.9;132.2;107.1;125.1;108.0;108.4;88.5
6632.0;2024-2025;15;NOUVELLE-AQUITAINE;13;POITIERS;86;VIENNE;86194;POITIERS;0860034V;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR HUGO;public;LEGT;123.9;;104.7;122.3;36.6;;36.6;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;116.8;111.2;90.7;128.4;115.3;117.0;108.4;104.0;90.2;118.9;110.0;88.6;135.1;116.3;110.8;109.2;97.7;87.6
6743.0;2024-2025;10;ILE-DE-FRANCE;25;VERSAILLES;91;ESSONNE;91687;VIRY CHATILLON;0910826D;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT LOUIS SAINT CLEMENT;privé sous contrat;LEGT;138.2;;;138.2;30;;30;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;129.4;105.2;92.8;149.3;123.0;137.3;102.2;121.5;89.8;121.0;105.4;89.1;137.7;118.2;138.2;101.7;;89.1
6906.0;2024-2025;10;ILE-DE-FRANCE;24;CRETEIL;93;SEINE-SAINT-DENIS;93078;VILLEPINTE;0931584S;LYCEE POLYVALENT JEAN ROSTAND;public;LPO;90.6;82.1;90.1;90.1;28.7;20.5;28.3;119.6;104.2;89.5;134.0;114.7;117.4;101.7;104.7;85.9;111.3;99.2;88.3;135.1;104.3;125.0;97.7;116.6;84.4;99.0;88.7;83.8;129.6;92.8;112.8;87.0;113.1;80.0
